ano_mes,total_pedidos,faturamento,ticket_medio
2024-06,72,132717.87,1843.3
2024-07,61,179387.7,2940.78
2024-08,99,298061.77,3010.72
2024-09,97,249289.73,2570.0
2024-10,91,224000.75,2461.55
2024-11,69,178784.43,2591.08
2024-12,58,123742.94,2133.5
2025-01,79,150650.75,1906.97
2025-02,63,166146.36,2637.24
2025-03,79,172001.9,2177.24
2025-04,77,271279.4,3523.11
2025-05,76,222017.26,2921.28
2025-06,63,182614.29,2898.64
2025-07,67,151009.44,2253.87
2025-08,71,177167.3,2495.31
2025-09,70,159977.8,2285.4
2025-10,88,246145.56,2797.11
2025-11,75,181833.59,2424.45
2025-12,90,234311.81,2603.46
2026-01,80,229078.63,2863.48
2026-02,82,196782.66,2399.79
2026-03,82,189594.01,2312.12
2026-04,69,192973.74,2796.72
2026-05,82,202191.22,2465.75
2026-06,8,25887.38,3235.92
