nome,categoria,unidades_vendidas,faturamento
Smart Aperiam Eletrônicos,Eletrônicos,135,659639.7
Grande Ipsa Eletrônicos,Eletrônicos,110,436229.2
Lite Nam Eletrônicos,Eletrônicos,123,397871.79
Smart Inventore Eletrônicos,Eletrônicos,135,384887.7
Smart Corporis Eletrônicos,Eletrônicos,99,290967.93
Premium Beatae Eletrônicos,Eletrônicos,113,212827.59
Air Vitae Esportes,Esportes,122,171807.72
Lite Accusantium Esportes,Esportes,142,158354.14
Turbo Quaerat Casa,Casa & Jardim,131,105410.46
Turbo Totam Casa,Casa & Jardim,114,99837.78
