item_id,pedido_id,produto_id,quantidade,preco_unit,subtotal
1,1,13,4,195.9,783.6
2,1,30,2,1115.17,2230.34
3,1,52,5,204.26,1021.3
4,2,15,2,559.13,1118.26
5,2,78,3,2851.02,8553.06
6,3,29,1,56.79,56.79
7,4,40,3,875.77,2627.31
8,5,78,5,2851.02,14255.1
9,6,68,2,19.08,38.16
10,7,49,2,804.66,1609.32
11,7,37,4,368.6,1474.4
12,7,24,4,33.34,133.36
13,8,14,1,506.49,506.49
14,9,8,5,180.66,903.3
15,9,49,5,804.66,4023.3
16,9,35,4,106.43,425.72
17,10,20,4,65.78,263.12
18,10,77,4,149.55,598.2
19,10,48,1,265.86,265.86
20,10,63,3,181.06,543.18
21,10,68,2,19.08,38.16
22,11,26,5,184.74,923.7
23,12,13,3,195.9,587.7
24,13,40,4,875.77,3503.08
25,14,57,1,309.44,309.44
26,15,31,4,180.39,721.56
27,15,42,3,80.53,241.59
28,16,31,2,180.39,360.78
29,16,38,3,313.65,940.95
30,17,18,3,146.84,440.52
31,17,31,4,180.39,721.56
32,18,55,1,537.2,537.2
33,18,16,3,413.4,1240.2
34,18,1,1,212.07,212.07
35,19,21,5,139.98,699.9
36,20,79,2,66.15,132.3
37,20,24,4,33.34,133.36
38,21,49,1,804.66,804.66
39,21,37,3,368.6,1105.8
40,21,5,2,169.65,339.3
41,21,76,4,9.81,39.24
42,21,68,4,19.08,76.32
43,22,32,2,112.33,224.66
44,23,4,5,200.21,1001.05
45,23,22,1,73.8,73.8
46,23,16,3,413.4,1240.2
47,23,58,3,580.12,1740.36
48,24,52,4,204.26,817.04
49,24,68,1,19.08,19.08
50,25,73,5,381.37,1906.85
51,25,54,2,100.69,201.38
52,26,36,2,142.92,285.84
53,26,57,1,309.44,309.44
54,27,67,5,62.15,310.75
55,27,52,1,204.26,204.26
56,28,2,4,159.24,636.96
57,29,18,5,146.84,734.2
58,30,64,1,66.81,66.81
59,30,27,5,146.85,734.25
60,31,75,5,107.38,536.9
61,32,13,3,195.9,587.7
62,32,58,5,580.12,2900.6
63,33,49,3,804.66,2413.98
64,33,4,3,200.21,600.63
65,34,43,3,240.77,722.31
66,34,75,1,107.38,107.38
67,34,22,2,73.8,147.6
68,35,31,3,180.39,541.17
69,35,26,5,184.74,923.7
70,35,61,4,1408.26,5633.04
71,36,15,4,559.13,2236.52
72,37,6,3,45.27,135.81
73,38,71,1,1883.43,1883.43
74,38,13,4,195.9,783.6
75,38,79,5,66.15,330.75
76,39,74,1,102.75,102.75
77,39,11,1,28.03,28.03
78,39,77,4,149.55,598.2
79,39,52,3,204.26,612.78
80,40,6,1,45.27,45.27
81,40,42,2,80.53,161.06
82,40,27,3,146.85,440.55
83,41,40,5,875.77,4378.85
84,41,60,5,342.84,1714.2
85,41,25,5,383.92,1919.6
86,41,65,1,43.77,43.77
87,42,29,2,56.79,113.58
88,42,70,5,150.13,750.65
89,43,78,3,2851.02,8553.06
90,43,33,5,119.54,597.7
91,44,79,2,66.15,132.3
92,45,72,3,215.38,646.14
93,46,9,4,4886.22,19544.88
94,46,1,1,212.07,212.07
95,46,72,3,215.38,646.14
96,47,37,1,368.6,368.6
97,48,52,5,204.26,1021.3
98,48,56,1,117.4,117.4
99,49,56,3,117.4,352.2
100,49,30,2,1115.17,2230.34
101,49,31,5,180.39,901.95
102,49,18,4,146.84,587.36
103,50,59,2,309.22,618.44
104,50,55,5,537.2,2686.0
105,50,1,2,212.07,424.14
106,50,78,4,2851.02,11404.08
107,51,52,3,204.26,612.78
108,52,29,1,56.79,56.79
109,52,70,3,150.13,450.39
110,52,58,1,580.12,580.12
111,53,13,2,195.9,391.8
112,53,48,2,265.86,531.72
113,54,47,5,145.99,729.95
114,54,67,1,62.15,62.15
115,54,51,3,3965.72,11897.16
116,55,14,2,506.49,1012.98
117,55,27,1,146.85,146.85
118,56,53,3,477.39,1432.17
119,57,7,1,2939.07,2939.07
120,58,41,4,175.34,701.36
121,58,60,5,342.84,1714.2
122,59,74,3,102.75,308.25
123,59,39,1,130.63,130.63
124,59,61,5,1408.26,7041.3
125,60,58,3,580.12,1740.36
126,61,24,2,33.34,66.68
127,62,59,1,309.22,309.22
128,62,22,1,73.8,73.8
129,62,29,5,56.79,283.95
130,63,26,5,184.74,923.7
131,63,43,3,240.77,722.31
132,64,40,2,875.77,1751.54
133,65,38,3,313.65,940.95
134,66,25,4,383.92,1535.68
135,66,54,1,100.69,100.69
136,67,9,5,4886.22,24431.1
137,67,30,4,1115.17,4460.68
138,68,10,4,236.68,946.72
139,69,23,5,419.81,2099.05
140,69,3,4,762.92,3051.68
141,69,33,2,119.54,239.08
142,69,77,2,149.55,299.1
143,69,54,2,100.69,201.38
144,70,25,4,383.92,1535.68
145,71,29,2,56.79,113.58
146,71,55,2,537.2,1074.4
147,71,69,3,852.39,2557.17
148,72,44,2,18.97,37.94
149,73,72,1,215.38,215.38
150,74,31,5,180.39,901.95
151,75,37,2,368.6,737.2
152,76,56,5,117.4,587.0
153,77,2,4,159.24,636.96
154,78,35,4,106.43,425.72
155,79,19,5,77.01,385.05
156,80,69,2,852.39,1704.78
157,81,2,2,159.24,318.48
158,82,72,1,215.38,215.38
159,82,24,5,33.34,166.7
160,82,10,3,236.68,710.04
161,83,47,2,145.99,291.98
162,83,61,4,1408.26,5633.04
163,83,64,4,66.81,267.24
164,84,27,1,146.85,146.85
165,84,48,5,265.86,1329.3
166,85,43,4,240.77,963.08
167,86,29,5,56.79,283.95
168,86,23,1,419.81,419.81
169,86,40,1,875.77,875.77
170,86,42,3,80.53,241.59
171,87,13,5,195.9,979.5
172,87,7,3,2939.07,8817.21
173,88,78,1,2851.02,2851.02
174,89,26,2,184.74,369.48
175,89,17,3,288.0,864.0
176,90,28,5,572.84,2864.2
177,90,58,1,580.12,580.12
178,90,31,1,180.39,180.39
179,90,50,4,138.67,554.68
180,91,62,4,269.1,1076.4
181,92,75,1,107.38,107.38
182,93,72,2,215.38,430.76
183,93,44,2,18.97,37.94
184,94,76,2,9.81,19.62
185,95,36,4,142.92,571.68
186,95,32,5,112.33,561.65
187,96,36,5,142.92,714.6
188,97,26,1,184.74,184.74
189,97,61,4,1408.26,5633.04
190,98,1,2,212.07,424.14
191,98,34,1,150.04,150.04
192,99,42,3,80.53,241.59
193,100,23,3,419.81,1259.43
194,101,6,1,45.27,45.27
195,101,53,4,477.39,1909.56
196,102,44,2,18.97,37.94
197,103,73,1,381.37,381.37
198,103,43,4,240.77,963.08
199,104,45,4,344.12,1376.48
200,104,23,3,419.81,1259.43
201,104,2,3,159.24,477.72
202,105,8,1,180.66,180.66
203,106,48,2,265.86,531.72
204,106,30,2,1115.17,2230.34
205,106,11,3,28.03,84.09
206,106,40,3,875.77,2627.31
207,106,71,2,1883.43,3766.86
208,107,78,2,2851.02,5702.04
209,108,25,4,383.92,1535.68
210,109,68,3,19.08,57.24
211,110,27,5,146.85,734.25
212,111,23,1,419.81,419.81
213,112,18,1,146.84,146.84
214,113,62,3,269.1,807.3
215,113,46,4,113.28,453.12
216,114,39,4,130.63,522.52
217,114,40,2,875.77,1751.54
218,114,62,4,269.1,1076.4
219,115,63,2,181.06,362.12
220,115,9,2,4886.22,9772.44
221,116,65,3,43.77,131.31
222,117,49,2,804.66,1609.32
223,118,74,4,102.75,411.0
224,118,2,4,159.24,636.96
225,118,44,1,18.97,18.97
226,118,62,4,269.1,1076.4
227,119,41,3,175.34,526.02
228,119,27,5,146.85,734.25
229,120,34,2,150.04,300.08
230,121,15,3,559.13,1677.39
231,122,72,3,215.38,646.14
232,122,61,5,1408.26,7041.3
233,122,76,5,9.81,49.05
234,123,35,4,106.43,425.72
235,124,66,1,605.81,605.81
236,125,21,1,139.98,139.98
237,126,80,5,113.53,567.65
238,127,3,1,762.92,762.92
239,127,12,2,3234.73,6469.46
240,128,3,5,762.92,3814.6
241,128,65,4,43.77,175.08
242,128,36,3,142.92,428.76
243,129,38,5,313.65,1568.25
244,129,1,4,212.07,848.28
245,130,23,5,419.81,2099.05
246,131,29,5,56.79,283.95
247,132,26,2,184.74,369.48
248,132,6,2,45.27,90.54
249,133,34,1,150.04,150.04
250,133,25,1,383.92,383.92
251,134,20,3,65.78,197.34
252,134,52,3,204.26,612.78
253,135,62,1,269.1,269.1
254,135,42,5,80.53,402.65
255,136,54,4,100.69,402.76
256,136,56,5,117.4,587.0
257,137,39,5,130.63,653.15
258,137,62,1,269.1,269.1
259,137,8,5,180.66,903.3
260,137,7,1,2939.07,2939.07
261,137,1,4,212.07,848.28
262,138,71,5,1883.43,9417.15
263,139,24,4,33.34,133.36
264,140,21,1,139.98,139.98
265,141,27,5,146.85,734.25
266,142,43,2,240.77,481.54
267,142,9,4,4886.22,19544.88
268,142,12,5,3234.73,16173.65
269,142,30,2,1115.17,2230.34
270,143,65,3,43.77,131.31
271,143,51,2,3965.72,7931.44
272,143,29,3,56.79,170.37
273,144,19,5,77.01,385.05
274,144,43,4,240.77,963.08
275,145,76,1,9.81,9.81
276,146,37,1,368.6,368.6
277,146,51,2,3965.72,7931.44
278,147,73,5,381.37,1906.85
279,147,68,4,19.08,76.32
280,148,28,4,572.84,2291.36
281,149,41,1,175.34,175.34
282,150,21,2,139.98,279.96
283,151,29,4,56.79,227.16
284,152,38,2,313.65,627.3
285,152,47,1,145.99,145.99
286,153,63,3,181.06,543.18
287,154,30,2,1115.17,2230.34
288,155,76,1,9.81,9.81
289,155,41,1,175.34,175.34
290,155,14,1,506.49,506.49
291,156,61,5,1408.26,7041.3
292,157,64,3,66.81,200.43
293,158,80,4,113.53,454.12
294,158,73,4,381.37,1525.48
295,159,77,1,149.55,149.55
296,160,14,1,506.49,506.49
297,160,55,5,537.2,2686.0
