pedido_id,cliente_id,data_pedido,hora_pedido,status,forma_pagamento,frete,desconto_pct,data_entrega,canal_venda,subtotal_produtos,desconto_valor,valor_total
1,266,2024-10-02,02:04:15,concluído,cartão crédito,4.12,0,2024-10-15,loja física,4035.24,0.0,4039.36
2,422,2026-05-16,11:44:06,enviado,cartão crédito,14.66,0,,marketplace,9671.32,0.0,9685.98
3,157,2024-10-29,04:40:46,enviado,cartão crédito,35.81,0,,loja física,56.79,0.0,92.6
4,373,2024-06-07,03:43:45,concluído,pix,17.59,20,2024-06-08,marketplace,2627.31,525.46,2119.44
5,406,2024-06-13,21:02:46,enviado,boleto,3.74,5,,marketplace,14255.1,712.76,13546.08
6,348,2026-04-04,04:12:49,concluído,cartão crédito,1.55,10,2026-04-16,loja física,38.16,3.82,35.89
7,121,2025-06-27,19:31:08,concluído,pix,18.28,0,2025-06-29,site,3217.08,0.0,3235.36
8,348,2025-12-23,04:51:22,enviado,cartão crédito,18.51,0,,site,506.49,0.0,525.0
9,188,2025-12-19,07:12:57,concluído,cartão crédito,32.41,0,2025-12-28,site,5352.320000000001,0.0,5384.73
10,256,2025-03-21,14:28:09,concluído,cartão débito,45.59,0,2025-03-24,marketplace,1708.52,0.0,1754.11
11,110,2025-06-20,15:09:33,enviado,boleto,14.25,15,,loja física,923.7,138.56,799.39
12,437,2025-04-14,03:15:16,concluído,cartão crédito,8.62,10,2025-04-17,site,587.7,58.77,537.55
13,496,2026-05-23,21:55:49,processando,pix,15.95,0,,site,3503.08,0.0,3519.03
14,457,2025-04-22,21:14:51,concluído,cartão crédito,7.86,10,2025-04-27,app,309.44,30.94,286.36
15,261,2025-04-06,10:36:05,enviado,cartão crédito,49.16,10,,app,963.15,96.32,915.99
16,14,2026-01-01,09:17:48,enviado,cartão crédito,28.56,0,,app,1301.73,0.0,1330.29
17,45,2025-03-20,17:43:23,enviado,cartão crédito,19.87,10,,loja física,1162.08,116.21,1065.74
18,210,2025-03-29,04:46:28,concluído,pix,3.68,20,2025-04-11,site,1989.47,397.89,1595.26
19,265,2025-06-19,03:41:32,concluído,cartão crédito,43.81,10,2025-06-30,app,699.9,69.99,673.72
20,67,2025-01-28,23:48:27,enviado,cartão crédito,45.44,0,,site,265.66,0.0,311.1
21,85,2025-10-14,19:48:44,concluído,cartão crédito,46.64,0,2025-10-19,marketplace,2365.3199999999997,0.0,2411.96
22,129,2025-09-03,20:40:22,processando,cartão crédito,47.72,0,,marketplace,224.66,0.0,272.38
23,48,2024-07-29,05:42:09,enviado,cartão débito,8.41,15,,app,4055.41,608.31,3455.51
24,369,2025-04-17,10:09:03,concluído,boleto,16.85,15,2025-04-27,site,836.12,125.42,727.55
